,kanji,hiragana/katakana,persian,english
372,悪口,わるぐち,بددهن,
373,悪天候,あくてんこう,هوای بد,
374,悪魔祓い,あくまばらい,جن گیری,
375,握る,にぎる,"گرد کردن چیزی 
با دست",
376,圧縮,あっしゅく,فشرده سازی,
377,圧倒的に,あっとうてきに,به طور قاطع,
378,扱う,あつかう,"برخورد کردن ، رسیدگی کردن","hundle , treat"
379,宛て,あて,خطاب به,addressed to
380,宛先,あてさき,آدرس گیرنده,recipient`s address
381,安く買える,やすくかえる,ارزان برای خرید,
382,安心,あんしん,آسوده خاطر,
383,安心感,あんしんかん,احساس آرامش,
384,安全,あんぜん,بی خطر,
385,安定,あんてい,"پایدار ،ثابت",
388,安定的な,あんていてきな,پایدار,
389,暗い,くらい,تاریک,dark
390,暗記,あんき,حفظ کردن,
391,暗算,あんざん,حساب ذهنی,
392,暗証番号,あんしょうばんごう,شماره شناسایی شخصی,
393,案件情報,じょうけんじょうほう,اطلاعات پروژه,
394,闇バイト,やみばいと,کار نیمه وقت تاریک,
395,以下,いか,کمتر از,
396,以外,いがい,جدا از,
397,以降,いこう,به بعد,
398,以上です,いじょうです,این همه است,
399,以前,いぜん,قدیما,
400,以内,いない,در طول,
401,位置,いち,موقعیت,
402,位置する,いちする,"قرار داشتن ، موقعیت داشتن",be located
403,依頼,いらい,درخواست,Request / Commission
404,囲む,かこむ,احاطه کردن,
405,意外と,いがいと,برخلاف انتظار,
406,意外な,いがいな,غیر منتظره,
407,意気込む,いきごむ,مشتاق بودن,To be enthusiastic / To be eager
408,意見,いけん,نظر,
409,意志,いし,"قصد ، نیت",Will / Intention
410,意思,いし,معنی / نیت / قصد,Meaning / Intention / Purpose
411,意思決定,いしけってい,تصمیم گیری,
412,意識,いしき,آگاهی / هوشیاری,Consciousness / Awareness
413,意匠権,いしょうけん,حق الزحمه طراحی,
414,意匠,いしょう,طرح,
415,意図,いと,قصد / منظور,Intention / Purpose
416,意味,いみ,معنی,
417,意欲,いよく,انگیزه / اشتیاق,
418,慰める,なぐさめる,آرامش / راحتی,comfortable
419,椅子,いす,صندلی,chair
420,異なる,ことなる,ناهمسانی,
421,異なる問題,ことなるもんだい,مسائل مختلف,
422,異常,いじょう,ناهنجاری,
423,異常検知,いじょうけんち,تشخیص ناهنجاری,
424,異動する,いどうする,"انتقال یافتن ، تغییر موقعیت",
425,移し,うつし,انتقال,
426,移動,いどう,جا به جا کردن,
428,胃,い,معده,stomach
429,胃カメラ,いかめら,گاستروسکوپ,
430,胃が吐き気,いがはきけ,معده حالت تهوع دارد,
431,胃もたれする,いもたれする,معده سنگین,
432,胃腸,いちょう,معده و روده,Stomach and intestines / Digestive system
433,胃腸科,いちょうか,گوارش,
434,衣食住,いしょくじゅう,لباس غذا سرپناه,
435,衣服,いふく,لباس ها,
436,衣類用洗剤,いるいようせんざい,پودر لباس شویی,
437,違う,ちがう,متفاوت,
438,遺産,いさん,میراث,
439,医院,いいん,درمانگاه,
440,医者,いしゃ,دکتر,doctor
441,育つ,そだつ,پرورش دادن بزرگ کردن,
442,一意,いちい,منحصر بفرد,
443,一意制約,いちいせいやく,محدودیت منحصر به فرد,Unique constraints
444,一応,いちおう,"فعلا ، موقتا ، برای اطمینان",for the time being
445,一家,いっか,خانواده,family
446,一括,いっかつ,بصورت یکجا,
447,一括納入,いっかつのうにゅう,تحویل یکباره,
448,一言,ひとこと,یک کلمه,
449,一言ずつ,ひとことずつ,کلمه به کلمه,
450,一戸建,いっこだて,خانه مستقل,
451,一口,ひとくち,یک گاز ,
452,一昨年,おととし,دوسال پیش,
453,一死,いっし,مرگ,
454,一時騒然,いちじそうぜん,پر سر و صدای موقت,
455,﻿一次洗浄,いちじせんじょう,شست و شو اولیه,
456,一週間,いっしゅうかん,یک هفته,
457,一緒,いっしょ,با یکدیگر,
458,一人一人,ひとりひとり,یکی یکی,
459,一人住まい,ひとりずまい,زندگی مجردی,
460,一人暮らし,ひとりぐらし,زندگی مجردی,
461,一生懸命,いっしょうけんめい,تلاش زیادی انجام دهید,
462,一致する,いっちする,همخوانی داشتن,to match
463,一定の条件,いっていのじょうけん,شرایط خاص,
464,一度に,いちどに,یکبار دیگه هم,
465,一泊二日,いっぱくふつか,یک شب و دوروز,
466,一般,いっぱん,عادی,
467,一般的,いっぱんてき,عمومی,
468,一番,いちばん,ترین,
469,一部,いちぶ,برخی,
470,一歩,いっぽ,گام,
471,一方,いっぽう,یک طرف,
472,一流講師,いちりゅうこうし,مدرس برتر,
473,一連,いちれん,سلسله,a series
474,溢れる,あふれる,"سرریز شدن، پر شدن از چیزی",
475,逸らす,そらす,نگاهت رو برگردونی از چیزی یا کسی,
476,稲作,いなさく,کشت برنج,
477,鰯,いわし,ساردین,
478,印,しるし,علامت,
479,印鑑,いんかん,مهر و امضا,
480,印鑑証明書,いんかんしょうめいしょ,گواهی مهر,
481,印刷,いんさつ,چاپ کردن,
482,印刷物を封入する,いんさつぶつをふうにゅうする,قرار دادن مواد چاپی در پاکت,
483,印象,いんしょう,"تصور ، برداشت",impression
484,因みに,ちなみに,راستی / در ضمن,
485,引きこもる,ひきこもる,منزوی شدن / در خانه ماندن,To shut oneself in / To stay indoors
486,引き受ける,ひきうける,بعهده گرفتن,
487,引き出す,ひきだす,برداشت,
488,引き渡した,ひきわたした,تحویل داده شد,
489,引き落とし,ひきおとし,برداشت از حساب,
490,引く,１０から２をひく,کم کردن,
491,引っ越し,ひっこし,اساس کشی,
493,引っ掻き,ひっかき,خراشیدن,
494,引っ張る,ひっぱる,"خودت رو برسون از نظر توانایی ،کشیدن (لباس،گوش ، مو",
495,引数,ひきすう,استدلال,argument
496,引退する,いんたいする,بازنشسته شوید,to retire
497,引率する,いんそつする,"رهبری کردن ، هدایت کردن","to lead , to guide"
498,飲み会,のみかい,مهمانی نوشیدنی,
500,飲み込まない,のみこまない,قورت نده,
501,飲み放題,のみほうだい,هرچقدر دوست دارید بنوشید,
502,飲酒運転,いんしゅうんてん,رانندگی در حالت مستی,
503,飲食厳禁,いんしょくげんきん,نه خوردن و نه آشامیدن,
504,陰性,いんせい,منفی شدن,negative
505,宇宙,うちゅう,فضا,
506,宇宙ロケット,うちゅうろけっと,موشک فضایی,
507,宇宙人,うちゅうじん,بیگانه,
508,宇宙船,うちゅうせん,فضاپیما,
509,宇宙飛行士,うちゅうひこうし,فضانورد,
510,烏,からす,کلاغ,
511,羽根,はね,پر,
512,雨,あめ,باران,
513,雨雲,あまぐも,ابرهای بارانی,
514,渦巻く,うずまく,"چرخیدن ، گرداب ساختن",swirl
515,噂,うわさ,شایعه,
516,運,うん,شانس,good fortune
517,運が悪かった,うんがわるかった,بد شانسی,
518,運ぶ,はこぶ,جابه جا کردن,
519,運よく,うんよく,خوشبختانه,
520,運眼の人,うんめ,آدم خوش شانس,
521,運転,うんてん,رانندگی,
522,運転手,うんてんしゅ,راننده,
523,運動,うんどう,حرکت - جنبش,
524,運動会,うんどうかい,روز ورزش,
525,運動神経が鈍い,うんどうしんけいがにぶい,اعصاب حرکتی کند هستند,
526,運用部門,うんようぶもん,بخش عملیات,
527,雲の間,くものま,بین ابرها,
528,営業部,えいぎょうぶ,بخش فروش,
529,影,かげ,سایه,
530,影響,えいきょう,تأثیر محیط,
531,影響する,えいきょうする,تاثیر می گذارد,"to affect , to influence"
532,影響を受ける,えいきょうをうける,تحت تاثیر قرار گرفتن,
533,影響力,"えいきょう
りょく",تأثیر گذار,
534,影子,かげ,سایه,shadow
535,映す,うつす,"به نمایش گذاشتن 
منعکس کردن ",
536,映画,えいが,فیلم,
537,映画館,えいがかん,سینما,
538,栄養,えいよう,مواد مغذی برای بدن,
539,永住ビザ,えいじゅうビザ,ویزای دائم,
540,永住者,えいじゅうしゃ,مقیم دائم,
541,永続化,えいぞくか,دائمی,
542,泳ぐ,およぐ,شنا کردن,
543,英語,えいご,زبان انگلیسی,
544,鋭い,するどい,"تیز (تیزبین،درد شدید، چاقوی تیز)",sharp
545,鋭いナイフ,するどいないふ,چاقوی تیز,
546,鋭い爪,するどいつめ,پنجه های تیز,
547,液体,えきたい,مایع,
548,越える,こえる,تجاوز کردن,
549,閲覧する,えつらんする,مرور کردن,
550,榎茸,えのきだけ,قارچ انوکی,
551,〜円札,〜えんさつ,اسکناس ... ینی,
552,円周,えんしゅう,محیط دایره,
553,延期,えんき,به تعویق انداختن,
554,延長する,えんちょうする,تمدید کردن,extend
555,援助,えんじょ,کمک ,
556,沿う,そう,دنبال کردن,
557,演じる役,えんじるやく,نقش بازی کردن,
558,演算機能,えんざんきのう,تابع حسابی,
559,演算装置,えんざんそうち,دستگاه محاسباتی,
560,演習,えんしゅう,تمرینات,
561,炎,ほのお,شعله,
562,煙,けむり,دود,
563,煙い,けむい,دودی,
564,煙突,えんとつ,دودکش,
565,縁,えん,رابطه,
566,遠説,えんせつ,سخنرانی,
567,遠方,えんぽう,خیلی دور,
